PL Run 1 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'o_cos_psi1', 'o_cos2_psi2', 'f_cos_psi1', 'f_cos2_psi2'] | IN_CHANNELS=9
Dataset: 110758 Omega, 52934 Anti-Omega
EM_ITER=4 | GAMMA=1.5
OmegaTransformer: 275,010 parameters

============================================================
EM Iteration 1/4
Iter 1: uniform weights (standard BCE)
  [EM4] Ep 011 | Ω:0.591 A:0.708 A@.55:0.675 Score:0.2992 | LR:0.000250 | ni:9/25
  [EM4] Ep 012 | Ω:0.590 A:0.709 A@.55:0.677 Score:0.2989 | LR:0.000250 | ni:10/25
  [EM4] Ep 013 | Ω:0.589 A:0.709 A@.55:0.677 Score:0.2983 | LR:0.000125 | ni:11/25
  [EM4] Ep 014 | Ω:0.589 A:0.710 A@.55:0.676 Score:0.2989 | LR:0.000125 | ni:12/25
  [EM4] Ep 015 | Ω:0.591 A:0.709 A@.55:0.674 Score:0.3001 | LR:0.000125 | ni:13/25
  [EM4] Ep 016 | Ω:0.592 A:0.708 A@.55:0.674 Score:0.2999 | LR:0.000125 | ni:14/25
  [EM4] Ep 017 | Ω:0.593 A:0.707 A@.55:0.673 Score:0.3004 | LR:0.000125 | ni:15/25
  [EM4] Ep 018 | Ω:0.594 A:0.706 A@.55:0.674 Score:0.3003 | LR:0.000125 | ni:16/25
  [EM4] Ep 019 | Ω:0.592 A:0.708 A@.55:0.675 Score:0.3007 | LR:0.000063 | ni:17/25
  [EM4] Ep 020 | Ω:0.592 A:0.709 A@.55:0.676 Score:0.3006 | LR:0.000063 | ni:18/25
  [EM4] Ep 021 | Ω:0.592 A:0.707 A@.55:0.676 Score:0.2987 | LR:0.000063 | ni:19/25
  [EM4] Ep 022 | Ω:0.592 A:0.706 A@.55:0.674 Score:0.2983 | LR:0.000063 | ni:20/25
  [EM4] Ep 023 | Ω:0.592 A:0.708 A@.55:0.675 Score:0.3000 | LR:0.000063 | ni:21/25
  [EM4] Ep 024 | Ω:0.592 A:0.708 A@.55:0.676 Score:0.3005 | LR:0.000063 | ni:22/25
  [EM4] Ep 025 | Ω:0.592 A:0.707 A@.55:0.675 Score:0.2989 | LR:0.000031 | ni:23/25
  [EM4] Ep 026 | Ω:0.594 A:0.706 A@.55:0.674 Score:0.2995 | LR:0.000031 | ni:24/25
  Early stopping at epoch 26
EM iter 4 best: Score=0.3024 Anti=0.7105 A@.55=0.6733

Global best score: 0.3124 → saved to models/omega_pseudolabel.pth
Log: logs/pl_run1.log
